381,0,6
382,0,1
383,6,26
384,2,15
385,1,2
386,0,1
387,0,1
388,13,50
389,1,7
390,8,40
391,28,134
392,0,1
393,52,201
394,1,3
395,1,1
396,6,16
397,1,1
398,0,2
399,1,2
400,1,1
401,2,11
402,50,201
403,0,1
404,32,144
405,0,1
406,35,125
407,0,2
408,0,1
409,3,11
410,1,1
411,1,1
412,3,8
413,32,127
414,26,100
415,1,1
416,0,3
417,1,1
418,45,189
419,1,2
420,5,15
421,2,2
422,13,72
423,3,15
424,0,1
425,0,1
426,4,8
427,1,1
428,4,17
429,2,7
430,2,8
431,3,26
432,50,196
433,0,10
434,4,20
435,3,11
436,0,2
437,1,6
438,1,2
439,2,3
440,0,1
441,28,119
442,0,1
443,0,1
444,5,15
445,1,2
446,0,1
447,0,1
448,0,1
449,0,6
450,39,153
451,2,2
452,0,1
453,5,29
454,2,9
455,5,22
456,4,9
457,1,1
458,5,25
459,0,1
460,2,7
461,26,134
462,6,24
463,3,10
464,0,2
465,1,7
466,2,5
467,1,7
468,0,1
469,7,30
470,1,1
471,1,1
472,22,84
473,3,15
474,1,2
475,1,5
476,0,1
477,0,1
478,0,1
479,9,42
480,0,1
481,0,1
482,2,7
483,1,6
484,1,1
485,2,8
486,2,3
487,1,1
488,16,70
489,3,8
490,1,2
491,6,20
492,7,31
493,46,201
494,8,40
495,0,1
496,0,1
497,0,1
498,1,2
499,0,2
500,0,2
501,1,1
502,4,20
503,2,9
504,1,1
505,0,1
506,3,9
507,1,2
508,2,2
509,37,158
510,1,3
511,6,25
512,1,1
513,0,1
514,0,1
515,0,1
516,8,48
517,1,1
518,0,1
519,0,1
520,10,45
521,2,2
522,8,27
523,14,44
524,47,201
525,2,5
526,1,2
527,0,1
528,1,3
529,3,11
530,0,1
531,2,10
532,4,11
533,0,1
534,0,2
535,27,132
536,1,9
537,0,6
538,0,2
539,4,16
540,0,1
541,6,28
542,0,1
543,0,1
544,0,1
545,0,1
546,5,23
547,0,1
548,16,78
549,2,12
550,2,10
551,2,8
552,0,1
553,4,14
554,0,1
555,39,147
556,2,11
557,1,4
558,1,1
559,1,1
560,6,27
561,2,9
562,0,3
563,5,20
564,3,19
565,2,4
566,0,3
567,0,1
568,5,28
569,32,121
570,0,2
571,0,1
572,2,7
573,0,1
574,0,1
575,9,44
576,1,2
577,1,8
578,1,2
579,0,1
580,10,47
581,0,1
582,14,55
583,0,1
584,0,1
585,0,1
586,1,2
587,0,3
588,33,139
589,11,54
590,5,17
591,5,16
592,0,1
593,0,1
594,1,2
595,0,1
596,1,1
597,0,1
598,13,56
599,19,85
600,0,4
601,0,6
602,1,2
603,5,26
604,2,13
605,9,43
606,0,2
607,6,33
608,0,1
609,4,24
610,0,1
611,0,1
612,1,3
613,0,1
614,1,2
615,0,1
616,0,2
617,1,2
618,20,109
619,0,1
620,0,2
621,1,6
622,8,47
623,0,5
624,1,6
625,4,12
626,7,34
627,16,68
628,21,106
629,1,7
630,1,1
631,7,51
632,0,1
633,4,32
634,2,10
635,1,6
636,10,44
637,3,16
638,3,15
639,38,182
640,2,6
641,0,3
642,1,2
643,2,3
644,3,10
645,0,1
646,5,22
647,0,3
648,0,1
649,1,1
650,1,1
651,4,13
652,0,1
653,6,29
654,0,1
655,0,1
656,23,77
657,1,6
658,0,1
659,5,24
660,20,97
661,7,42
662,0,2
663,0,1
664,0,1
665,1,1
666,2,8
667,1,7
668,0,1
669,3,9
670,1,1
671,0,1
672,10,58
673,0,3
674,2,14
675,0,1
676,1,1
677,0,1
678,12,73
679,38,164
680,0,1
681,2,10
682,0,1
683,1,2
684,1,2
685,0,1
686,20,109
687,0,8
688,1,1
689,5,20
690,0,1
691,0,2
692,17,72
693,4,28
694,3,22
695,3,6
696,0,7
697,2,9
698,1,3
699,2,3
700,1,3
701,0,1
702,0,1
703,1,1
704,5,35
705,25,85
706,1,13
707,0,1
708,4,26
709,9,61
710,0,1
711,18,95
712,3,14
713,6,28
714,0,1
715,0,1
716,2,5
717,1,1
718,3,18
719,0,1
720,32,143
721,1,4
722,0,2
723,5,23
724,0,2
725,0,1
726,0,1
727,1,1
728,1,1
729,0,1
730,0,1
731,1,2
732,0,1
733,0,1
734,2,9
735,1,11
736,0,5
737,0,1
738,0,1
739,0,1
740,0,1
741,11,54
742,1,14
743,2,11
744,9,50
745,10,58
746,0,4
747,4,28
748,0,1
749,0,2
750,0,1
751,0,1
752,21,106
753,0,1
754,3,11
755,0,1
756,11,54
757,0,1
758,9,47
759,0,1
760,1,7
761,7,28
762,2,6
763,8,40
764,0,6
765,0,1
766,0,1
767,18,95
768,0,1
769,0,1
770,1,5
771,0,1
772,0,1
773,1,1
774,0,1
775,0,2
776,2,7
777,1,1
778,0,1
779,4,12
780,1,5
781,16,95
782,0,1
783,1,1
784,1,3
785,1,1
786,0,2
787,2,7
788,1,1
789,1,1
790,1,5
791,6,18
792,22,104
793,1,2
794,1,3
795,1,3
796,3,18
797,1,1
798,1,1
799,0,1
800,0,2
801,32,116
802,13,63
803,1,3
804,7,43
805,3,12
806,0,2
807,1,1
808,1,5
809,0,1
810,6,18
811,0,5
812,2,2
813,4,15
814,0,1
815,5,34
816,1,5
817,0,1
818,0,1
819,3,12
820,1,1
821,3,16
822,1,6
823,0,19
824,9,43
825,2,18
826,2,15
827,6,46
828,3,10
829,1,2
830,0,6
831,0,6
832,3,7
833,1,8
834,4,18
835,1,1
836,0,1
837,2,14
838,3,3
839,0,5
840,0,1
841,0,1
842,3,38
843,4,12
844,1,4
845,0,2
846,2,22
847,0,1
848,7,52
849,1,9
850,3,17
851,5,10
852,1,6
853,0,1
854,1,1
855,1,1
856,3,15
857,1,4
858,14,75
859,0,12
860,0,1
861,0,1
862,0,1
863,15,76
864,0,1
865,3,16
866,0,2
867,2,6
868,1,7
869,0,1
870,2,8
871,1,7
872,6,30
873,0,5
874,1,6
875,2,15
876,0,11
877,0,1
878,7,46
879,1,1
880,0,1
881,11,49
882,0,1
883,0,1
884,0,1
885,0,1
886,5,20
887,0,3
888,0,1
889,0,1
890,0,8
891,0,1
892,1,3
893,0,1
894,0,1
895,1,2
896,1,20
897,4,18
898,0,1
899,0,1
900,1,6
901,0,1
902,0,1
903,1,2
904,3,19
905,4,35
906,3,19
907,1,7
908,2,16
909,0,1
910,3,22
911,0,1
912,0,1
913,8,18
914,17,74
915,0,1
916,0,1
917,1,1
918,0,1
919,7,41
920,0,1
921,0,1
922,3,24
923,0,4
924,7,48
925,1,10
926,11,67
927,0,10
928,3,14
929,0,1
930,3,29
931,0,1
932,0,3
933,1,2
934,0,3
935,9,43
936,1,2
937,0,2
938,2,12
939,0,1
940,0,3
941,5,18
942,0,1
943,1,14
944,0,1
