542,0,2
543,0,2
544,0,1
545,0,1
546,1,1
547,9,14
548,5,8
549,27,41
550,20,36
551,7,9
552,1,2
553,0,1
554,6,13
555,0,1
556,13,22
557,1,2
558,12,24
559,11,22
560,1,1
561,1,1
562,26,48
563,8,19
564,3,7
565,0,2
566,1,2
567,5,11
568,1,1
569,39,72
570,0,1
571,2,3
572,1,2
573,21,46
574,9,14
575,0,1
576,9,19
577,14,22
578,10,17
579,1,2
580,8,13
581,0,1
582,0,1
583,0,1
584,1,1
585,0,1
586,1,1
587,1,1
588,0,1
589,8,20
590,14,21
591,4,9
592,0,1
593,0,3
594,0,1
595,0,1
596,0,1
597,0,1
598,1,5
599,1,1
600,14,27
601,27,43
602,0,1
603,5,15
604,1,1
605,0,1
606,22,36
607,5,7
608,45,80
609,6,8
610,7,11
611,11,23
612,1,2
613,1,2
614,1,4
615,0,1
616,1,3
617,4,8
618,0,2
619,8,14
620,1,3
621,5,11
622,0,1
623,16,29
624,0,1
625,0,2
626,37,63
627,1,2
628,18,29
629,0,1
630,3,7
631,0,1
632,0,1
633,29,59
634,0,1
635,11,20
636,24,42
637,5,6
638,2,4
639,10,20
640,14,25
641,1,1
642,6,10
643,1,1
644,2,2
645,22,34
646,5,8
647,10,17
648,0,1
649,1,1
650,4,11
651,6,9
652,2,2
653,1,1
654,0,1
655,8,13
656,0,1
657,15,26
658,0,1
659,0,1
660,0,1
661,0,1
662,1,1
663,5,10
664,38,60
665,4,12
666,21,38
667,3,8
668,7,13
669,2,3
670,6,9
671,1,6
672,8,16
673,7,10
674,19,33
675,13,23
676,4,6
677,0,1
678,0,1
679,2,6
680,0,1
681,2,3
682,0,1
683,0,1
684,22,36
685,13,19
686,3,7
687,2,3
688,5,9
689,8,16
690,0,5
691,17,36
692,0,1
693,8,14
694,0,1
695,0,2
696,3,6
697,22,36
698,4,7
699,24,33
700,1,5
701,11,25
702,6,12
703,0,1
704,3,4
705,23,36
706,14,24
707,0,1
708,0,1
709,2,4
710,1,1
